ITEM	CATEGORY	EN RegEx	EN (SV) ACTION
asserted as	definiteExistence		forward
definite	definiteExistence		forward
doubtless	definiteExistence		forward
evident	definiteExistence		forward
hence	definiteExistence		forward
obvious	definiteExistence		forward
positive examination for	definiteExistence		forward
positive study for	definiteExistence		forward
seen as	definiteExistence		forward
without doubt	definiteExistence		bidirectional
adequate to rule the patient out against	DEFINITE_NEGATED_EXISTENCE		forward
are ruled out	DEFINITE_NEGATED_EXISTENCE		backward
being ruled out	DEFINITE_NEGATED_EXISTENCE		backward
can be ruled out	DEFINITE_NEGATED_EXISTENCE		backward
can rule him out	DEFINITE_NEGATED_EXISTENCE		forward
can rule him out against	DEFINITE_NEGATED_EXISTENCE	can\srule\s(her|him)\sout\sagainst	forward
can rule out	DEFINITE_NEGATED_EXISTENCE		forward
can rule out against	DEFINITE_NEGATED_EXISTENCE		forward
can rule the patient out against	DEFINITE_NEGATED_EXISTENCE	can\srule\s(her|him)\sout\sagainst	forward
cannot	DEFINITE_NEGATED_EXISTENCE		forward
cleared of	DEFINITE_NEGATED_EXISTENCE		forward
declined	DEFINITE_NEGATED_EXISTENCE		forward
declines	DEFINITE_NEGATED_EXISTENCE		forward
denied	DEFINITE_NEGATED_EXISTENCE		forward
denies	DEFINITE_NEGATED_EXISTENCE		forward
deny	DEFINITE_NEGATED_EXISTENCE		forward
did rule her out	DEFINITE_NEGATED_EXISTENCE		forward
did rule her out against	DEFINITE_NEGATED_EXISTENCE		forward
did rule her out for	DEFINITE_NEGATED_EXISTENCE		forward
did rule him out	DEFINITE_NEGATED_EXISTENCE		forward
did rule him out against	DEFINITE_NEGATED_EXISTENCE		forward
did rule him out for	DEFINITE_NEGATED_EXISTENCE		forward
did rule out	DEFINITE_NEGATED_EXISTENCE		forward
did rule out against	DEFINITE_NEGATED_EXISTENCE		forward
did rule out for	DEFINITE_NEGATED_EXISTENCE		forward
did rule the patient out	DEFINITE_NEGATED_EXISTENCE		forward
did rule the patient out against	DEFINITE_NEGATED_EXISTENCE		forward
did rule the patient out for	DEFINITE_NEGATED_EXISTENCE		forward
